word	bank	sentiment
자동	toss	neg
업데이트	toss	neg
먹통	toss	neg
부모	toss	neg
등록	toss	neg
이거	toss	neg
영상	toss	neg
건데	toss	neg
충전	toss	neg
고양이	toss	neg
터치	toss	neg
데이터	toss	neg
페이	toss	neg
문의	toss	neg
증권	toss	neg
통장	toss	neg
송금	toss	neg
동영상	toss	neg
이후	toss	neg
포인트	toss	neg
교통카드	toss	neg
불편	toss	neg
비밀	toss	neg
오류	toss	neg
사람	toss	neg
광고	toss	neg
로그인	toss	neg
계좌	toss	neg
연결	toss	neg
신청	toss	neg
내역	toss	neg
리뷰	toss	neg
친구	toss	neg
시간	toss	neg
카드	toss	neg
캐시	toss	neg
인식	toss	neg
보상	toss	neg
쇼핑	toss	neg
라이브	toss	neg
캐릭터	toss	neg
정보	toss	neg
문제	toss	neg
버스	toss	neg
은행	toss	neg
서비스	toss	neg
주일	toss	neg
가능	toss	neg
대출	toss	neg
인증	toss	neg
센터	toss	neg
삭제	toss	neg
재생	toss	neg
미만	toss	neg
적립	toss	neg
만보기	toss	neg
방문	toss	neg
기능	toss	neg
신분증	toss	neg
이상	toss	neg
동의	toss	neg
복권	toss	neg
사용	toss	neg
잔액	toss	neg
설치	toss	neg
쓰레기	toss	neg
혜택	toss	neg
교통	toss	neg
미션	toss	neg
토스	toss	neg
생각	toss	neg
금융	toss	neg
뱅크	toss	neg
입력	toss	neg
점검	toss	neg
탈퇴	toss	neg
결제	toss	neg
요즘	toss	neg
화면	toss	neg
확인	toss	neg
구매	toss	neg
이번	toss	neg
메뉴	toss	neg
주식	toss	neg
이벤트	toss	neg
고객	toss	neg
핸드폰	toss	neg
퀴즈	toss	neg
번호	toss	neg
강제	toss	neg
짜증	toss	neg
