word	bank	sentiment
최악	woori	neg
보안	woori	neg
촬영	woori	neg
얼굴	woori	neg
타행	woori	neg
설치	woori	neg
입출금	woori	neg
기능	woori	neg
리뷰	woori	neg
카드	woori	neg
이후	woori	neg
뱅킹	woori	neg
비번	woori	neg
시간	woori	neg
로그인	woori	neg
증서	woori	neg
비밀	woori	neg
화면	woori	neg
금융	woori	neg
이체	woori	neg
공동	woori	neg
생각	woori	neg
등록	woori	neg
인식	woori	neg
은행	woori	neg
사진	woori	neg
안면	woori	neg
생체	woori	neg
지문	woori	neg
사용	woori	neg
계좌	woori	neg
조회	woori	neg
확인	woori	neg
인증	woori	neg
인증서	woori	neg
건지	woori	neg
업데이트	woori	neg
신분증	woori	neg
가입	woori	neg
우리	woori	neg
발급	woori	neg
변경	woori	neg
설정	woori	neg
불편	woori	neg
번호	woori	neg
정보	woori	neg
하나	woori	neg
오류	woori	neg
